Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2175,0,350,521.7646189159158,243.16074600210413,3743.2404670034884,18001.172413793105,1.2874891735582394,0.0,350,490,590,700,1000,1300,1700,2000,3500,3700,3700
POST,/api/cart,10985,2,270,376.4336361632094,243.06832699949155,3859.1246340001817,172.106053709604,6.502560262775752,0.0011838980906282662,270,310,330,360,530,1200,1400,1600,2000,3600,3900
GET,/api/cart?sessionId=046a2ca2-8590-11f1-9017-a1a91599fee5,6,0,470,454.48235499861767,258.64196899783565,704.9281259969575,2111.0,0.0035516942718847987,0.0,510,510,520,520,700,700,700,700,700,700,700
GET,/api/cart?sessionId=046a3058-8590-11f1-9017-a1a91599fee5,13,0,350,523.5135717700289,255.98237700614845,1307.0662569953129,3594.076923076923,0.00769533758908373,0.0,350,500,670,910,910,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=046a3350-8590-11f1-9017-a1a91599fee5,12,0,280,327.66154100014927,256.94876100169495,519.6209619971341,2006.8333333333333,0.0071033885437695975,0.0,290,300,450,450,470,520,520,520,520,520,520
GET,/api/cart?sessionId=046a3602-8590-11f1-9017-a1a91599fee5,15,0,330,568.595437866558,261.0795840009814,1405.6128169977455,639.6666666666666,0.008879235679711996,0.0,330,480,620,1300,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046a3a6c-8590-11f1-9017-a1a91599fee5,19,0,290,346.9151949477811,245.60027199913748,615.4274209984578,2234.0526315789475,0.011247031860968528,0.0,290,400,420,440,520,620,620,620,620,620,620
GET,/api/cart?sessionId=046a3d0a-8590-11f1-9017-a1a91599fee5,6,0,270,381.02670816806494,247.2630170013872,621.036244003335,2416.1666666666665,0.0035516942718847987,0.0,430,430,450,450,620,620,620,620,620,620,620
GET,/api/cart?sessionId=046a3f8a-8590-11f1-9017-a1a91599fee5,18,0,360,504.73230894446414,264.0965419996064,1421.2411330008763,2998.5555555555557,0.010655082815654396,0.0,400,500,520,540,1300,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046a41ec-8590-11f1-9017-a1a91599fee5,21,0,340,386.209840810417,247.4706229986623,642.1697010009666,988.1904761904761,0.012430929951596795,0.0,340,400,510,530,560,620,640,640,640,640,640
GET,/api/cart?sessionId=046a4444-8590-11f1-9017-a1a91599fee5,12,0,320,835.0102237503355,245.98534800315974,3938.0038929957664,3681.4166666666665,0.0071033885437695975,0.0,530,540,1200,1200,1300,3900,3900,3900,3900,3900,3900
