Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/cart?sessionId=cbcfe7de-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cbcfe7de-857a-11f1-80a3-e58355e4aa54'),11,2026-07-22T03:12:06Z,2026-07-22T03:21:35Z
GET,/api/cart?sessionId=cd013626-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cd013626-857a-11f1-80a3-e58355e4aa54'),14,2026-07-22T03:10:57Z,2026-07-22T03:23:57Z
GET,/api/cart?sessionId=cd9a23e0-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cd9a23e0-857a-11f1-80a3-e58355e4aa54'),10,2026-07-22T03:15:58Z,2026-07-22T03:23:22Z
GET,/api/cart?sessionId=cbcfc808-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cbcfc808-857a-11f1-80a3-e58355e4aa54'),16,2026-07-22T03:12:57Z,2026-07-22T03:23:35Z
GET,/api/cart?sessionId=cbcf5daa-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cbcf5daa-857a-11f1-80a3-e58355e4aa54'),16,2026-07-22T03:13:24Z,2026-07-22T03:24:14Z
GET,/api/cart?sessionId=cbcfb070-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cbcfb070-857a-11f1-80a3-e58355e4aa54'),18,2026-07-22T03:10:52Z,2026-07-22T03:24:07Z
GET,/api/cart?sessionId=cd00dfaa-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cd00dfaa-857a-11f1-80a3-e58355e4aa54'),12,2026-07-22T03:13:22Z,2026-07-22T03:24:05Z
GET,/api/cart?sessionId=cc683b42-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cc683b42-857a-11f1-80a3-e58355e4aa54'),16,2026-07-22T03:12:27Z,2026-07-22T03:23:17Z
GET,/api/cart?sessionId=cd99dde0-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cd99dde0-857a-11f1-80a3-e58355e4aa54'),11,2026-07-22T03:11:54Z,2026-07-22T03:24:18Z
GET,/api/cart?sessionId=cd0114b6-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cd0114b6-857a-11f1-80a3-e58355e4aa54'),16,2026-07-22T03:12:53Z,2026-07-22T03:24:19Z
GET,/api/cart?sessionId=cc685b04-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cc685b04-857a-11f1-80a3-e58355e4aa54'),16,2026-07-22T03:11:21Z,2026-07-22T03:24:28Z
GET,/api/cart?sessionId=cbcfd24e-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cbcfd24e-857a-11f1-80a3-e58355e4aa54'),16,2026-07-22T03:10:29Z,2026-07-22T03:24:29Z
GET,/api/cart?sessionId=cd99f51e-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cd99f51e-857a-11f1-80a3-e58355e4aa54'),16,2026-07-22T03:11:31Z,2026-07-22T03:24:36Z
GET,/api/cart?sessionId=cd011d62-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cd011d62-857a-11f1-80a3-e58355e4aa54'),14,2026-07-22T03:12:35Z,2026-07-22T03:23:19Z
GET,/api/cart?sessionId=cc684db2-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cc684db2-857a-11f1-80a3-e58355e4aa54'),6,2026-07-22T03:11:32Z,2026-07-22T03:24:32Z
GET,/api/recommendations?productIds=2ZYFJ3GM2N,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=2ZYFJ3GM2N'),164,2026-07-22T03:10:02Z,2026-07-22T03:24:46Z
GET,/api/product-reviews/OLJCESPC7Z,HTTPError('500 Server Error: Internal Server Error for url: /api/product-reviews/OLJCESPC7Z'),91,2026-07-22T03:09:52Z,2026-07-22T03:24:46Z
GET,/api/cart?sessionId=cd00e4be-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cd00e4be-857a-11f1-80a3-e58355e4aa54'),9,2026-07-22T03:13:20Z,2026-07-22T03:23:29Z
GET,/api/cart?sessionId=cbcfdf3c-857a-11f1-80a3-e58355e4aa54,HTTPError('500 Server Error: Internal Server Error for url: /api/cart?sessionId=cbcfdf3c-857a-11f1-80a3-e58355e4aa54'),5,2026-07-22T03:12:17Z,2026-07-22T03:24:47Z
GET,/api/recommendations?productIds=0PUK6V6EV0,HTTPError('500 Server Error: Internal Server Error for url: /api/recommendations?productIds=0PUK6V6EV0'),144,2026-07-22T03:10:09Z,2026-07-22T03:24:44Z
