SERVICE         POD                              NODE                         ZONE
cart            cart-6d79b75c86-q69sw            ip-10-0-60-167.ec2.internal  us-east-1a
cart            cart-6d79b75c86-qrv9l            ip-10-0-79-215.ec2.internal  us-east-1b
checkout        checkout-759dd9cb9-6ck98         ip-10-0-79-215.ec2.internal  us-east-1b
checkout        checkout-759dd9cb9-hrk7j         ip-10-0-60-167.ec2.internal  us-east-1a
currency        currency-78f9b59b48-5bk2x        ip-10-0-79-215.ec2.internal  us-east-1b
currency        currency-78f9b59b48-6chqw        ip-10-0-60-167.ec2.internal  us-east-1a
email           email-6684b75569-cmrck           ip-10-0-79-96.ec2.internal   us-east-1b
email           email-6684b75569-h8dfx           ip-10-0-58-3.ec2.internal    us-east-1a
frontend        frontend-9bc87c6c5-6qsq5         ip-10-0-79-215.ec2.internal  us-east-1b
frontend        frontend-9bc87c6c5-6rk6p         ip-10-0-60-167.ec2.internal  us-east-1a
frontend-proxy  frontend-proxy-6cd6747d96-c4wfr  ip-10-0-79-215.ec2.internal  us-east-1b
frontend-proxy  frontend-proxy-6cd6747d96-rxdh4  ip-10-0-60-167.ec2.internal  us-east-1a
payment         payment-5846dfcc8c-c59mp         ip-10-0-60-167.ec2.internal  us-east-1a
payment         payment-5846dfcc8c-rdw5h         ip-10-0-79-215.ec2.internal  us-east-1b
quote           quote-d8bcfb9d8-6dcm9            ip-10-0-79-215.ec2.internal  us-east-1b
quote           quote-d8bcfb9d8-vljwr            ip-10-0-60-167.ec2.internal  us-east-1a
shipping        shipping-56577b977b-2l5j2        ip-10-0-79-215.ec2.internal  us-east-1b
shipping        shipping-56577b977b-l76vn        ip-10-0-60-167.ec2.internal  us-east-1a
