SERVICE         POD                              NODE                         ZONE
cart            cart-6d79b75c86-q69sw            ip-10-0-60-167.ec2.internal  us-east-1a
cart            cart-6d79b75c86-qrv9l            ip-10-0-79-215.ec2.internal  us-east-1b
checkout        checkout-6d84dffb5-kqlpt         ip-10-0-79-215.ec2.internal  us-east-1b
checkout        checkout-6d84dffb5-znwf2         ip-10-0-79-215.ec2.internal  us-east-1b
currency        currency-764b9b4bfb-2fwhf        ip-10-0-79-215.ec2.internal  us-east-1b
currency        currency-764b9b4bfb-4l4bz        ip-10-0-79-215.ec2.internal  us-east-1b
email           email-7786c8bb7d-jlmmf           ip-10-0-79-96.ec2.internal   us-east-1b
email           email-7786c8bb7d-lqqt7           ip-10-0-79-96.ec2.internal   us-east-1b
frontend        frontend-9b47b8ccf-gcjfg         ip-10-0-60-167.ec2.internal  us-east-1a
frontend        frontend-9b47b8ccf-gwd7l         ip-10-0-60-167.ec2.internal  us-east-1a
frontend-proxy  frontend-proxy-6cd6747d96-c4wfr  ip-10-0-79-215.ec2.internal  us-east-1b
frontend-proxy  frontend-proxy-6cd6747d96-rxdh4  ip-10-0-60-167.ec2.internal  us-east-1a
payment         payment-5846dfcc8c-c59mp         ip-10-0-60-167.ec2.internal  us-east-1a
payment         payment-5846dfcc8c-rdw5h         ip-10-0-79-215.ec2.internal  us-east-1b
quote           quote-6b5558b58c-dczdn           ip-10-0-79-215.ec2.internal  us-east-1b
quote           quote-6b5558b58c-sccc2           ip-10-0-60-167.ec2.internal  us-east-1a
shipping        shipping-56577b977b-2l5j2        ip-10-0-79-215.ec2.internal  us-east-1b
shipping        shipping-56577b977b-l76vn        ip-10-0-60-167.ec2.internal  us-east-1a
