Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/products/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /api/products/66VCHSJNUP'),1,2026-07-22T05:41:16Z,2026-07-22T05:41:16Z
POST,/api/cart,HTTPError('503 Server Error: Service Unavailable for url: /api/cart'),2,2026-07-22T05:39:33Z,2026-07-22T05:39:33Z
GET,/api/data/?contextKeys=assembly,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=assembly'),1,2026-07-22T05:37:15Z,2026-07-22T05:37:15Z
GET,/api/products/OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /api/products/OLJCESPC7Z'),1,2026-07-22T05:37:39Z,2026-07-22T05:37:39Z
GET,/api/recommendations?productIds=9SIQT8TOJO,HTTPError('503 Server Error: Service Unavailable for url: /api/recommendations?productIds=9SIQT8TOJO'),1,2026-07-22T05:41:35Z,2026-07-22T05:41:35Z
GET,/api/products/LS4PSXUNUM,HTTPError('503 Server Error: Service Unavailable for url: /api/products/LS4PSXUNUM'),1,2026-07-22T05:41:22Z,2026-07-22T05:41:22Z
GET,/api/products/HQTGWGPNH4,HTTPError('503 Server Error: Service Unavailable for url: /api/products/HQTGWGPNH4'),1,2026-07-22T05:41:22Z,2026-07-22T05:41:22Z
GET,/api/data/?contextKeys=travel,HTTPError('503 Server Error: Service Unavailable for url: /api/data/?contextKeys=travel'),2,2026-07-22T05:37:09Z,2026-07-22T05:40:04Z
GET,/api/cart?sessionId=a06383a8-858e-11f1-9017-a1a91599fee5,HTTPError('503 Server Error: Service Unavailable for url: /api/cart?sessionId=a06383a8-858e-11f1-9017-a1a91599fee5'),1,2026-07-22T05:37:03Z,2026-07-22T05:37:03Z
GET,/api/cart?sessionId=524c54e6-858f-11f1-9017-a1a91599fee5,HTTPError('503 Server Error: Service Unavailable for url: /api/cart?sessionId=524c54e6-858f-11f1-9017-a1a91599fee5'),1,2026-07-22T05:39:45Z,2026-07-22T05:39:45Z
GET,/api/products/9SIQT8TOJO,HTTPError('503 Server Error: Service Unavailable for url: /api/products/9SIQT8TOJO'),1,2026-07-22T05:37:15Z,2026-07-22T05:37:15Z
GET,/api/recommendations?productIds=HQTGWGPNH4,HTTPError('503 Server Error: Service Unavailable for url: /api/recommendations?productIds=HQTGWGPNH4'),1,2026-07-22T05:37:03Z,2026-07-22T05:37:03Z
GET,/api/cart?sessionId=524c33b2-858f-11f1-9017-a1a91599fee5,HTTPError('503 Server Error: Service Unavailable for url: /api/cart?sessionId=524c33b2-858f-11f1-9017-a1a91599fee5'),1,2026-07-22T05:39:39Z,2026-07-22T05:39:39Z
GET,/api/products/L9ECAV7KIM,HTTPError('503 Server Error: Service Unavailable for url: /api/products/L9ECAV7KIM'),2,2026-07-22T05:39:21Z,2026-07-22T05:41:22Z
GET,/api/cart?sessionId=524be952-858f-11f1-9017-a1a91599fee5,HTTPError('503 Server Error: Service Unavailable for url: /api/cart?sessionId=524be952-858f-11f1-9017-a1a91599fee5'),1,2026-07-22T05:39:39Z,2026-07-22T05:39:39Z
GET,/api/products/2ZYFJ3GM2N,HTTPError('503 Server Error: Service Unavailable for url: /api/products/2ZYFJ3GM2N'),6,2026-07-22T05:37:09Z,2026-07-22T05:46:57Z
GET,/api/products/6E92ZMYYFZ,HTTPError('503 Server Error: Service Unavailable for url: /api/products/6E92ZMYYFZ'),1,2026-07-22T05:38:21Z,2026-07-22T05:38:21Z
GET,/api/products/0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /api/products/0PUK6V6EV0'),2,2026-07-22T05:37:15Z,2026-07-22T05:40:04Z
GET,/api/products/1YMWWN1N4O,HTTPError('503 Server Error: Service Unavailable for url: /api/products/1YMWWN1N4O'),1,2026-07-22T05:38:21Z,2026-07-22T05:38:21Z
POST,/api/checkout,HTTPError('500 Server Error: Internal Server Error for url: /api/checkout'),3,2026-07-22T05:54:03Z,2026-07-22T05:54:57Z
