Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,606,0,320,545.333325650465,248.53081100445706,2912.4902740004472,18001.0099009901,0.6732705783121345,0.0,320,350,410,520,1500,1800,2100,2300,2900,2900,2900
POST,/api/cart,2722,0,300,314.4732163486103,243.45351599913556,3058.8726159985526,158.95077149155034,3.0241625646297527,0.0,300,310,320,350,400,460,610,690,980,3100,3100
GET,/api/cart?sessionId=cbcf484c-857a-11f1-80a3-e58355e4aa54,10,8,300,332.2042578991386,247.3578799981624,638.7571179948281,21.6,0.01111007554970519,0.008888060439764152,310,320,340,350,640,640,640,640,640,640,640
GET,/api/cart?sessionId=cbcf53be-857a-11f1-80a3-e58355e4aa54,8,8,270,288.5215269998298,257.8788149985485,351.9725939986529,21.0,0.008888060439764152,0.008888060439764152,280,290,320,320,350,350,350,350,350,350,350
GET,/api/cart?sessionId=cbcf5daa-857a-11f1-80a3-e58355e4aa54,22,16,290,463.35053649950584,253.437250998104,3422.2136009993847,21.818181818181817,0.02444216620935142,0.017776120879528304,290,300,310,310,620,820,3400,3400,3400,3400,3400
GET,/api/cart?sessionId=cbcf66a6-857a-11f1-80a3-e58355e4aa54,14,11,290,446.2166120715015,257.73972699971637,2225.055360002443,21.642857142857142,0.015554105769587266,0.01222108310467571,290,320,350,380,500,2200,2200,2200,2200,2200,2200
GET,/api/cart?sessionId=cbcf8b36-857a-11f1-80a3-e58355e4aa54,15,14,300,317.4206216669215,257.56064599409,510.91719600663055,21.2,0.016665113324557786,0.015554105769587266,300,310,320,360,430,510,510,510,510,510,510
GET,/api/cart?sessionId=cbcf928e-857a-11f1-80a3-e58355e4aa54,6,6,280,303.4056754998649,262.65434000379173,393.09719699667767,21.0,0.006666045329823114,0.006666045329823114,280,280,340,340,390,390,390,390,390,390,390
GET,/api/cart?sessionId=cbcf9824-857a-11f1-80a3-e58355e4aa54,14,12,310,451.19142857064224,266.39780899859034,2032.7770520016202,21.428571428571427,0.015554105769587266,0.013332090659646228,320,350,350,370,510,2000,2000,2000,2000,2000,2000
GET,/api/cart?sessionId=cbcfa148-857a-11f1-80a3-e58355e4aa54,14,14,300,322.35597692852025,257.1053740030038,569.3375449991436,21.0,0.015554105769587266,0.015554105769587266,300,310,320,330,400,570,570,570,570,570,570
GET,/api/cart?sessionId=cbcfa670-857a-11f1-80a3-e58355e4aa54,14,11,280,399.51477299941223,257.5651859951904,1695.990778003761,21.642857142857142,0.015554105769587266,0.01222108310467571,300,320,330,370,390,1700,1700,1700,1700,1700,1700
GET,/api/cart?sessionId=cbcfab34-857a-11f1-80a3-e58355e4aa54,15,12,280,318.2929197350556,255.14949500211515,548.260579998896,21.6,0.016665113324557786,0.013332090659646228,280,310,360,390,390,550,550,550,550,550,550
GET,/api/cart?sessionId=cbcfb070-857a-11f1-80a3-e58355e4aa54,19,18,310,328.3482549473104,246.40972199995304,526.553944000625,21.157894736842106,0.02110914354443986,0.019998135989469343,310,330,340,350,510,530,530,530,530,530,530
GET,/api/cart?sessionId=cbcfb4a8-857a-11f1-80a3-e58355e4aa54,17,15,300,363.0423856469433,257.635855996341,1220.095812001091,21.352941176470587,0.018887128434498822,0.016665113324557786,300,320,320,340,440,1200,1200,1200,1200,1200,1200
