epoch,utc,users,current_rps,fail_ratio,avg_ms
1785210372,03:46:11,22,3.9,0.00015,68.0
1785210385,03:46:24,22,4.9,0.00015,67.9
1785210398,03:46:38,22,3.4,0.00015,67.8
1785210411,03:46:50,22,5.4,0.00015,67.8
1785210424,03:47:03,22,4.1,0.00015,67.7
1785210437,03:47:16,22,4.5,0.00015,67.6
1785210450,03:47:29,22,3.9,0.00015,67.6
1785210463,03:47:42,22,7.5,0.00015,67.6
1785210476,03:47:55,22,3.9,0.00015,67.5
1785210489,03:48:08,22,4.0,0.00015,67.4
1785210502,03:48:21,22,4.8,0.00015,67.4
1785210515,03:48:34,22,6.2,0.00015,67.3
1785210527,03:48:47,22,4.2,0.00015,67.3
1785210540,03:49:00,22,5.1,0.00015,67.3
1785210553,03:49:13,22,3.3,0.00015,67.3
1785210566,03:49:25,22,3.8,0.00015,67.3
1785210579,03:49:38,22,4.4,0.00015,67.2
1785210592,03:49:51,22,5.0,0.00015,67.1
1785210604,03:50:04,22,3.8,0.00014,67.2
1785210617,03:50:17,22,4.0,0.00014,67.1
1785210630,03:50:30,22,4.2,0.00014,67.0
1785210644,03:50:43,22,5.8,0.00014,67.0
1785210657,03:50:56,22,5.1,0.00014,66.9
1785210670,03:51:09,22,5.1,0.00014,66.8
1785210683,03:51:22,22,3.5,0.00014,66.8
1785210695,03:51:35,22,3.8,0.00014,66.9
1785210708,03:51:48,22,4.5,0.00014,66.8
1785210722,03:52:01,22,5.4,0.00014,66.8
1785210735,03:52:15,22,3.5,0.00014,66.7
1785210748,03:52:28,22,2.8,0.00014,66.7
1785210762,03:52:41,22,5.5,0.00014,66.6
1785210775,03:52:54,22,3.9,0.00014,66.6
1785210787,03:53:07,22,4.3,0.00014,66.6
1785210800,03:53:20,22,6.2,0.00014,66.6
1785210813,03:53:32,22,3.8,0.00014,66.6
1785210826,03:53:45,22,5.4,0.00014,66.5
1785210839,03:53:58,22,4.0,0.00014,66.5
1785210852,03:54:11,22,5.4,0.00014,66.4
1785210865,03:54:24,22,4.4,0.00014,66.5
1785210878,03:54:37,22,3.6,0.00014,66.5
1785210890,03:54:50,22,4.8,0.00014,66.5
1785210904,03:55:03,22,4.3,0.00014,66.4
1785210917,03:55:16,22,4.3,0.00014,66.4
1785210930,03:55:29,22,5.2,0.00014,66.3
1785210943,03:55:42,22,5.9,0.00014,66.2
1785210956,03:55:55,22,4.9,0.00014,66.2
1785210969,03:56:08,22,5.0,0.00014,66.2
1785210981,03:56:21,22,4.6,0.00014,66.2
1785210994,03:56:34,22,3.7,0.00014,66.1
1785211007,03:56:47,22,3.8,0.00014,66.0
1785211020,03:57:00,22,3.8,0.00014,66.1
