epoch,utc,users,current_rps,fail_ratio,avg_ms
1785211035,03:57:15,22,4.1,0.00014,66.1
1785211048,03:57:28,112,32.7,0.00014,66.4
1785211061,03:57:41,112,25.1,0.00013,66.1
1785211074,03:57:54,112,25.7,0.00013,66.1
1785211088,03:58:07,112,21.9,0.00013,65.8
1785211100,03:58:20,112,22.8,0.00013,65.7
1785211115,03:58:34,112,20.2,0.00013,65.6
1785211127,03:58:47,112,21.5,0.00013,65.3
1785211140,03:59:00,112,23.3,0.00013,65.2
1785211153,03:59:13,112,23.8,0.00013,65.1
1785211166,03:59:26,112,25.5,0.00013,64.9
1785211179,03:59:39,112,24.4,0.00013,64.7
1785211193,03:59:53,112,23.4,0.00012,64.5
1785211207,04:00:06,112,20.5,0.00012,64.4
1785211220,04:00:19,112,23.1,0.00012,64.3
1785211233,04:00:33,112,23.4,0.00012,64.2
1785211247,04:00:46,112,23.0,0.00012,64.2
1785211262,04:01:01,112,20.8,0.00012,64.1
1785211277,04:01:16,112,23.8,0.00012,64.0
1785211290,04:01:30,112,25.8,0.00012,63.8
1785211304,04:01:43,112,28.1,0.00012,63.7
1785211318,04:01:57,112,22.5,0.00012,63.5
1785211331,04:02:10,112,20.1,0.00012,63.3
1785211344,04:02:23,112,25.5,0.00011,63.1
1785211357,04:02:37,112,22.1,0.00011,63.0
1785211370,04:02:50,112,22.2,0.00011,62.9
1785211384,04:03:03,112,22.7,0.00011,62.7
1785211397,04:03:16,112,23.7,0.00011,62.6
1785211410,04:03:29,112,22.2,0.00011,62.5
1785211423,04:03:42,112,25.5,0.00011,62.4
1785211436,04:03:55,112,22.1,0.00011,62.2
1785211449,04:04:08,112,22.8,0.00011,62.1
1785211462,04:04:21,34,22.2,0.00011,62.0
1785211475,04:04:34,34,7.8,0.00011,61.9
1785211488,04:04:47,34,6.9,0.00011,61.9
1785211500,04:05:00,34,5.9,0.00011,61.9
1785211513,04:05:13,34,5.8,0.00011,61.8
1785211527,04:05:27,34,7.3,0.00011,61.8
1785211540,04:05:40,34,7.6,0.00011,61.8
1785211555,04:05:54,34,8.4,0.00011,61.7
1785211567,04:06:07,34,8.4,0.00011,61.7
1785211580,04:06:20,34,7.2,0.00011,61.7
1785211593,04:06:32,34,6.9,0.00011,61.6
1785211606,04:06:45,34,7.7,0.00011,61.5
1785211619,04:06:58,34,6.1,0.00011,61.5
1785211632,04:07:11,34,6.5,0.0001,61.5
1785211645,04:07:25,34,5.7,0.0001,61.4
1785211658,04:07:38,34,4.6,0.0001,61.4
1785211671,04:07:51,34,6.0,0.0001,61.3
